馬名,金額(Pt),毛色,成長,馬場,脚質,ＳＰ,ＳＴ,根性,瞬発,気性,体質,距離(下限),距離(上限),隠し,三冠,系統,①父,因子,系統,母,系統,②父父,因子,系統,父母,系統,③母父,因子,系統,母母,系統,④父父父,因子,系統,父父母,系統,⑤父母父,因子,系統,父母母,系統,⑥母父父,因子,系統,母父母,系統,⑦母母父,因子,系統,母母母,系統,⑧父父父父,因子,系統,⑨父父母父,因子,系統,⑩父母父父,因子,系統,⑪父母母父,因子,系統,⑫母父父父,因子,系統,⑬母父母父,因子,系統,⑭母母父父,因子,系統,⑮母母母父,因子,系統
Zarkava,50000,鹿毛,早め,芝,自,A+,A+,A+,A+,S+,S+,1800,2400,★,●,ゴーンウエスト,Zamindar,sy1,ゴーンウエスト,Zarkasha,ニジンスキー,Gone West,sp1kon1,ゴーンウエスト,Zaizafon,ノーザンダンサー,Kahyasi,sy1,ニジンスキー,Zarkana,ミルリーフ,Mr. Prospector,sp2sy1,ミスタープロスペクター,Secrettame,ボールドルーラー,The Minstrel,st1,ノーザンダンサー,Mofida,ファラリス,イルドブルボン,st1,ニジンスキー,Kadissya,ブラッシンググルーム,Doyoun,#N/A,ミルリーフ,Zarna,ブランドフォード,Raise a Native,sp2sy1,レイズアネイティヴ,Secretariat,sp2,ボールドルーラー,Northern Dancer,st2kon1,ノーザンダンサー,Right Tack,kon1,ファラリス,Nijinsky,sp2st1,ニジンスキー,Blushing Groom,sp2,ブラッシンググルーム,Mill Reef,st2kon1,ミルリーフ,Shernazar,#N/A,ブランドフォード
Ouija Board,50000,鹿毛,早め,芝,自,A,S,S,A,S+,S+,2200,2800,★,,グリーンデザート,Cape Cross,sp1sy1,グリーンデザート,Selection Board,オーエンテューダー,Green Desert,sp2sy1,グリーンデザート,Park Appeal,トウルビヨン,Welsh Pageant,st1,オーエンテューダー,Ouija,ハイペリオン,Danzig,sp2sy1,ダンチヒ,Foreign Courier,サーゲイロード,Ahonoora,sp1,トウルビヨン,Balidaress,オーエンテューダー,Tudor Melody,#N/A,オーエンテューダー,Picture Light,フェアウェイ,Heliopolis,#N/A,ハイペリオン,Psychist,マッチェム,Northern Dancer,st2kon1,ノーザンダンサー,Sir Ivor,sp1kon1,サーゲイロード,Lorenzaccio,kon1,トウルビヨン,Balidar,st1,オーエンテューダー,Tudor Minstrel,sy1,オーエンテューダー,Court Martial,st1,フェアウェイ,Hyperion,sp2sy1,ハイペリオン,Psychic Bid,#N/A,マッチェム
Taghrooda,50000,鹿毛,早め,芝,自,A,S,S,A,S+,S+,2200,2800,★,,グリーンデザート,Sea The Stars,sp2sy1,グリーンデザート,Ezima,サドラーズウェルズ,Cape Cross,sp1sy1,グリーンデザート,アーバンシー,ミスタープロスペクター,Sadler's Wells,st2kon1,サドラーズウェルズ,Ezilla,ミルリーフ,Green Desert,sp2sy1,グリーンデザート,Park Appeal,トウルビヨン,Miswaki,sp1,ミスタープロスペクター,Allegretta,テディ,Northern Dancer,st2kon1,ノーザンダンサー,Fairy Bridge,ヘイルトゥリーズン,Darshaan,st1,ミルリーフ,Ezana,フェアウェイ,Danzig,sp2sy1,ダンチヒ,Ahonoora,sp1,トウルビヨン,Mr. Prospector,sp2sy1,ミスタープロスペクター,Lombard,sp1,テディ,Nearctic,sp1st1,ニアークティック,Bold Reason,#N/A,ヘイルトゥリーズン,Shirley Heights,sp1,ミルリーフ,Ela-Mana-Mou,kon1,フェアウェイ
アーモンドアイ,50000,鹿毛,早め,芝,差,A+,A+,A+,A+,S+,S+,1800,2400,セリ,●,キングカメハメハ,ロードカナロア,sp2kon1,キングカメハメハ,フサイチパンドラ,サンデーサイレンス,キングカメハメハ,st1kon1,キングカメハメハ,レディブラッサム,ストームキャット,サンデーサイレンス,sp1st1,サンデーサイレンス,ロッタレース,ヌレイエフ,Kingmambo,st1kon1,ミスタープロスペクター,マンファス,ノーザンダンサー,Storm Cat,sp2sy1,ストームキャット,サラトガデュー,リボー,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Nureyev,sp2kon1,ヌレイエフ,Sex Appeal,トムフール,Mr. Prospector,sp2sy1,ミスタープロスペクター,ラストタイクーン,sp1,ノーザンダンサー,Storm Bird,sp1kon1,ストームバード,Cormorant,kon1,リボー,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Northern Dancer,st2kon1,ノーザンダンサー,Buckpasser,st1,トムフール
Enable,50000,鹿毛,早め,芝,先,A,S,S,A,S+,S+,2200,2800,★,,ガリレオ,Nathaniel,#N/A,ガリレオ,Concentric,サドラーズウェルズ,Galileo,sp2kon1,ガリレオ,Magnificient Style,ロベルト,Sadler's Wells,st2kon1,サドラーズウェルズ,Apogee,ミルリーフ,Sadler's Wells,st2kon1,サドラーズウェルズ,アーバンシー,ミスタープロスペクター,Silver Hawk,sp1sy1,ロベルト,Mia Karina,ニアークティック,Northern Dancer,st2kon1,ノーザンダンサー,Fairy Bridge,ヘイルトゥリーズン,Shirley Heights,sp1,ミルリーフ,Bourbon Girl,ニジンスキー,Northern Dancer,st2kon1,ノーザンダンサー,Miswaki,sp1,ミスタープロスペクター,Roberto,st2kon1,ロベルト,Icecapade,sp1,ニアークティック,Nearctic,sp1st1,ニアークティック,Bold Reason,#N/A,ヘイルトゥリーズン,Mill Reef,st2kon1,ミルリーフ,イルドブルボン,st1,ニジンスキー
Found,50000,鹿毛,早め,芝,先,A,S,S,A,S+,S+,2200,2800,★,,ガリレオ,Galileo,sp2kon1,ガリレオ,Red Evie,ロベルト,Sadler's Wells,st2kon1,サドラーズウェルズ,アーバンシー,ミスタープロスペクター,Intikhab,sy1,ロベルト,Malafemmena,ノーザンダンサー,Northern Dancer,st2kon1,ノーザンダンサー,Fairy Bridge,ヘイルトゥリーズン,Miswaki,sp1,ミスタープロスペクター,Allegretta,テディ,Red Ransom,sp1,ロベルト,Crafty Example,ミスタープロスペクター,Nordico,#N/A,ノーザンダンサー,Martinova,トムフール,Nearctic,sp1st1,ニアークティック,Bold Reason,#N/A,ヘイルトゥリーズン,Mr. Prospector,sp2sy1,ミスタープロスペクター,Lombard,sp1,テディ,Roberto,st2kon1,ロベルト,Crafty Prospector,sp1sy1,ミスタープロスペクター,Northern Dancer,st2kon1,ノーザンダンサー,Martinmas,#N/A,トムフール
チーエクセレンス,50000,白毛,持続,万,自,S,A,A,S,S+,S+,1400,2000,★,,チィチィ系,Honor,sy2,チィチィ系,Elegance,,Yuuo,st2sp1,,Superiority,,Win,kon2sy1,,Grace,,Grace,sy2kon1,,Graceful,,Excellent work,ken2ki2,,,,,sy2,,,,,st2sp1,,,,,kon2sy1,,,sy2kon1,,,ken2ki2,,,sy2,,,st2sp1,,,kon2sy1,,,ken2ki2,,,sy2,
ロメオさん用,50000,桜毛,持続,万,大逃,S,A,A,S,S+,S+,1400,2000,★,,ロメオ系,シュークリーム,sy2,ロメオ系,ショートケーキ,,チーズタルト,sy2,,チョレートパフェ,,プッチンプリン,st2sp1,,チョコバナナクレープ,,バニラアイス,kon2sy1,,スイートポテト,,エクレア,sy2kon1,,,,,ken2ki2,,,,,sy2,,,,,st2sp1,,,kon2sy1,,,sy2kon1,,,ken2ki2,,,sy2,,,st2sp1,,,kon2sy1,,,ken2ki2,
ジェンティルドンナ,40000,鹿毛,早め,芝,差,A+,S,A+,A+,S,S,1800,2400,セリ,●,ディープインパクト,ディープインパクト,sp2sy1,ディープインパクト,ドナブリーニ,ダンチヒ,サンデーサイレンス,sp1st1,サンデーサイレンス,ウインドインハーヘア,リファール,Bertolini,#N/A,ダンチヒ,Cal Norma's Lady,リファール,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Alzao,sp1,リファール,Burghclere,ブランドフォード,Danzig,sp2sy1,ダンチヒ,Aquilegia,レイズアネイティヴ,リファーズスペシャル,#N/A,リファール,June Darling,ボールドルーラー,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Lyphard,sp2sy1,リファール,Busted,sp1,ブランドフォード,Northern Dancer,st2kon1,ノーザンダンサー,Alydar,sp1sy1,レイズアネイティヴ,Lyphard,sp2sy1,リファール,ジュニアス,#N/A,ボールドルーラー
Three Troikas,40000,鹿毛,早め,芝,先,A+,S,A+,A+,S,S,1800,2400,★,,リファール,Lyphard,sp2sy1,リファール,Three Roses,エクリプス,Northern Dancer,st2kon1,ノーザンダンサー,Goofed,フェアウェイ,Dual,#N/A,エクリプス,Always Loyal,プリンスリーギフト,Nearctic,sp1st1,ニアークティック,Natalma,ネイティヴダンサー,Court Martial,st1,フェアウェイ,Barra,ヘロド,Chanteur,#N/A,エクリプス,Duplicity,ネアルコ,King's Troop,#N/A,プリンスリーギフト,Constant Worry,テディ,Nearco,sp2st1,ネアルコ,Native Dancer,sp2sy1,ネイティヴダンサー,Fair Trial,sp1,フェアウェイ,Formor,#N/A,ヘロド,Chateau Bouscaut,#N/A,ベンドア,Nearco,sp2st1,ネアルコ,Princely Gift,sp2kon1,プリンスリーギフト,Torbido,#N/A,テディ
Bosra Sham,40000,栗毛,早め,芝,差,S,A+,A,S,S,S,1400,2000,★,,ミスタープロスペクター,Woodman,sp2sy1,ミスタープロスペクター,Korveya,ナスルーラ,Mr. Prospector,sp2sy1,ミスタープロスペクター,プレイメイト,トムフール,Riverman,sp1kon1,ナスルーラ,Konafa,ダマスカス,Raise a Native,sp2sy1,レイズアネイティヴ,Gold Digger,ナスルーラ,Buckpasser,st1,トムフール,Intriguing,ハイペリオン,Never Bend,sp2sy1,ネヴァーベンド,River Lady,プリンスローズ,Damascus,sp2sy1,ダマスカス,Royal Statute,ノーザンダンサー,Native Dancer,sp2sy1,ネイティヴダンサー,Nashua,sp2sy1,ナスルーラ,Tom Fool,st2kon1,トムフール,Swaps,sp1sy1,ハイペリオン,Nasrullah,sp2sy1,ナスルーラ,Prince John,sp1,プリンスローズ,Sword Dancer,st1,テディ,Northern Dancer,st2kon1,ノーザンダンサー
Urban Sea,40000,栗毛,遅め,芝,差,A+,S,A+,A+,S,S,1800,2400,★,,ミスタープロスペクター,Miswaki,sp1,ミスタープロスペクター,Allegretta,テディ,Mr. Prospector,sp2sy1,ミスタープロスペクター,Hopespringseternal,トムフール,Lombard,sp1,テディ,Anatevka,ブランドフォード,Raise a Native,sp2sy1,レイズアネイティヴ,Gold Digger,ナスルーラ,Buckpasser,st1,トムフール,Rose Bower,プリンスローズ,Agio,kon1,テディ,Promised Lady,プリンスローズ,Espresso,sp1,ブランドフォード,Almyra,ヘロド,Native Dancer,sp2sy1,ネイティヴダンサー,Nashua,sp2sy1,ナスルーラ,Tom Fool,st2kon1,トムフール,Princequillo,sp1sy1,プリンスローズ,Tantieme,st1,テディ,Prince Chevalier,kon1,プリンスローズ,Acropolis,sp1,ブランドフォード,Birkhahn,sy1,ヘロド
Azeri,40000,栗毛,遅め,ダ,自,S,A+,A,S,S,S,1400,2000,★,,ミスタープロスペクター,ジェイドハンター,#N/A,ミスタープロスペクター,Zodiac Miss,トウルビヨン,Mr. Prospector,sp2sy1,ミスタープロスペクター,Jadana,リファール,Ahonoora,sp1,トウルビヨン,Capricornia,ノーザンダンサー,Raise a Native,sp2sy1,レイズアネイティヴ,Gold Digger,ナスルーラ,Pharly,#N/A,リファール,Janina,テディ,Lorenzaccio,kon1,トウルビヨン,Helen Nichols,テディ,トライマイベスト,sy1,ノーザンダンサー,Franconia,ナスルーラ,Native Dancer,sp2sy1,ネイティヴダンサー,Nashua,sp2sy1,ナスルーラ,Lyphard,sp2sy1,リファール,Match,#N/A,テディ,Klairon,#N/A,トウルビヨン,Martial,#N/A,テディ,Northern Dancer,st2kon1,ノーザンダンサー,ラインゴールド,st1,ナスルーラ
Ruffian,40000,青鹿毛,早め,ダ,逃,S+,A,B+,S+,S,S,1000,1600,★,●,ボールドルーラー,Reviewer,sp1,ボールドルーラー,Shenanigans,ネイティヴダンサー,Bold Ruler,sp2sy1,ボールドルーラー,Broadway,テディ,Native Dancer,sp2sy1,ネイティヴダンサー,Bold Irish,テディ,Nasrullah,sp2sy1,ナスルーラ,Miss Disco,マッチェム,Hasty Road,kon1,テディ,Flitabout,スインフォード,Polynesian,sy1,ファラリス,Geisha,マッチェム,Fighting Fox,kon1,テディ,Erin,エクリプス,Nearco,sp2st1,ネアルコ,Discovery,#N/A,マッチェム,Roman,#N/A,テディ,Challedon,#N/A,スインフォード,Unbreakable,#N/A,ファラリス,Discovery,#N/A,マッチェム,Sir Gallahad,sp1,テディ,Transmute,#N/A,エクリプス
Dahlia,40000,栗毛,早め,万,逃,A+,S,A+,A+,S,S,1800,2400,★,,ハイペリオン,Vaguely Noble,st1,ハイペリオン,Charming Alibi,ハイペリオン,ヴィエナ,sy1,ハイペリオン,Noble Lassie,ネアルコ,Honeys Alibi,#N/A,ハイペリオン,Adorada,テディ,Aureole,#N/A,ハイペリオン,Turkish Blood,ブランドフォード,Nearco,sp2st1,ネアルコ,Belle Sauvage,ブランドフォード,Alibhai,#N/A,ハイペリオン,Honeymoon,サンインロー,Hierocles,#N/A,テディ,Gilded Wave,テディ,Hyperion,sp2sy1,ハイペリオン,Turkhan,#N/A,ブランドフォード,Pharos,sp1sy1,ファラリス,Big Game,#N/A,ブランドフォード,Hyperion,sp2sy1,ハイペリオン,Beau Pere,#N/A,サンインロー,Abjer,#N/A,テディ,Gallant Fox,#N/A,テディ
Miesque,40000,鹿毛,早め,芝,先,S+,A,B+,S+,S,S,1000,1600,★,,ヌレイエフ,Nureyev,sp2kon1,ヌレイエフ,Pasadoble,リボー,Northern Dancer,st2kon1,ノーザンダンサー,Special,ハイペリオン,Prove Out,sy1,リボー,Santa Quilla,ハンプトン,Nearctic,sp1st1,ニアークティック,Natalma,ネイティヴダンサー,Forli,sp1,ハイペリオン,Thong,ナスルーラ,Graustark,sy1,リボー,Equal Venture,スインフォード,Sanctus,st1,ハンプトン,Neriad,プリンスローズ,Nearco,sp2st1,ネアルコ,Native Dancer,sp2sy1,ネイティヴダンサー,Aristophanes,#N/A,ハイペリオン,Nantallah,sp1,ナスルーラ,Ribot,st1kon1,リボー,Bold Venture,#N/A,スインフォード,Fine Top,sp1,ハンプトン,Princequillo,sp1sy1,プリンスローズ
Detroit,40000,黒鹿毛,遅め,芝,先,A,S+,S,A,S,S,2200,2800,★,,ナスルーラ,Riverman,sp1kon1,ナスルーラ,Derna,テディ,Never Bend,sp2sy1,ネヴァーベンド,River Lady,プリンスローズ,Sunny Boy,#N/A,テディ,Miss Barberie,ブランドフォード,Nasrullah,sp2sy1,ナスルーラ,Lalun,トウルビヨン,Prince John,sp1,プリンスローズ,Nile Lily,テディ,Jock,#N/A,テディ,Fille de Soleil,ハンプトン,Norseman,#N/A,ブランドフォード,Vaneuse,セントサイモン,Nearco,sp2st1,ネアルコ,Djeddah,#N/A,トウルビヨン,Princequillo,sp1sy1,プリンスローズ,Roman,#N/A,テディ,Asterus,#N/A,テディ,Solario,#N/A,ハンプトン,Umidwar,#N/A,ブランドフォード,Vatellor,#N/A,セントサイモン
Gold River,40000,栗毛,早め,芝,先,A+,S,A+,A+,S,S,1800,2400,★,,ナスルーラ,Riverman,sp1kon1,ナスルーラ,Glaneuse,ブランドフォード,Never Bend,sp2sy1,ネヴァーベンド,River Lady,プリンスローズ,スノッブ,#N/A,ブランドフォード,Glamour,ナスルーラ,Nasrullah,sp2sy1,ナスルーラ,Lalun,トウルビヨン,Prince John,sp1,プリンスローズ,Nile Lily,テディ,Mourne,#N/A,ブランドフォード,Senones,プリンスローズ,Nasrullah,sp2sy1,ナスルーラ,Striking,マンノウォー,Nearco,sp2st1,ネアルコ,Djeddah,#N/A,トウルビヨン,Princequillo,sp1sy1,プリンスローズ,Roman,#N/A,テディ,Vieux Manoir,#N/A,ブランドフォード,Prince Bio,#N/A,プリンスローズ,Nearco,sp2st1,ネアルコ,War Admiral,sp1,マンノウォー
Makybe Diva,40000,鹿毛,晩成,芝,自,A,S+,S+,B+,S,S,3000,3600,★,,デインヒル,デザートキング,#N/A,デインヒル,Tugela,ナスルーラ,デインヒル,sp2sy1,デインヒル,Sabaah,ヌレイエフ,Riverman,sp1kon1,ナスルーラ,Rambushka,ロベルト,Danzig,sp2sy1,ダンチヒ,Razyana,リボー,Nureyev,sp2kon1,ヌレイエフ,Dish Dash,ブランドフォード,Never Bend,sp2sy1,ネヴァーベンド,River Lady,プリンスローズ,Roberto,st2kon1,ロベルト,Katsura,ノーザンダンサー,Northern Dancer,st2kon1,ノーザンダンサー,His Majesty,sy1,リボー,Northern Dancer,st2kon1,ノーザンダンサー,Bustino,sp1,ブランドフォード,Nasrullah,sp2sy1,ナスルーラ,Prince John,sp1,プリンスローズ,Hail to Reason,sp1,ヘイルトゥリーズン,Northern Dancer,st2kon1,ノーザンダンサー
Personal Ensign,40000,鹿毛,持続,ダ,先,S,A+,A,S,S,S,1400,2000,★,,ダマスカス,Private Account,st1,ダマスカス,Grecian Banner,リボー,Damascus,sp2sy1,ダマスカス,Numbered Account,トムフール,Hoist the Flag,kon1,リボー,Dorine,ハイペリオン,Sword Dancer,st1,テディ,Kerala,トウルビヨン,Buckpasser,st1,トムフール,Intriguing,ハイペリオン,Tom Rolfe,st1,リボー,Wavy Navy,マンノウォー,Aristophanes,#N/A,ハイペリオン,Doria,フェアウェイ,Sunglow,#N/A,テディ,My Babu,#N/A,トウルビヨン,Tom Fool,st2kon1,トムフール,Swaps,sp1sy1,ハイペリオン,Ribot,st1kon1,リボー,War Admiral,sp1,マンノウォー,Hyperion,sp2sy1,ハイペリオン,Advocate,#N/A,フェアウェイ
